data;casi non vaccinati;casi vaccinati 1 dose;casi vaccinati completo;casi vaccinati booster;ospedalizzati/ti non vaccinati;ospedalizzati/ti vaccinati 1 dose;ospedalizzati/ti vaccinati;ospedalizzati/ti booster;decessi non vaccinati;decessi vaccinati 1 dose;decessi vaccinati;decessi booster
2022-01-12;6414467;1678301;45917177;10972555;6873025;1498329;45638591;5697985;7024858;1496272;45488815;4136735
2022-01-05;6660263;1578764;45770918;8102818;6660263;1578764;45770918;8102818;6660263;1578764;45770918;8102818
2021-12-28;6876688;1504168;45629089;5694939;6876688;1504168;45629089;5694939;6876688;1504168;45629089;5694939
2021-12-21;7031651;1502381;45475912;4133267;7031651;1502381;45475912;4133267;7031651;1502381;45475912;4133267
2021-12-15;7160934;1577260;45271750;3060479;7160934;1577260;45271750;3060479;7160934;1577260;45271750;3060479
2021-12-07;7291722;1749607;44968615;2189265;7291722;1749607;44968615;2189265;7291722;1749607;44968615;2189265
2021-12-01;7404599;1981131;44624214;1594076;7404599;1981131;44624214;1594076;7404599;1981131;44624214;1594076
2021-11-24;7586013;2222672;44201259;1016007;7586013;2222672;44201259;1016007;7586013;2222672;44201259;1016007
2021-11-17;7862567;2422756;43724619;570032;7862567;2422756;43724619;570032;7862567;2422756;43724619;570032
2021-11-10;8302865;2538614;43168463;294719;8302865;2538614;43168463;294719;8302865;2538614;43168463;294719
2021-11-03;8683749;2653423;42672767;0;8683749;2653423;42672767;0;8683749;2653423;42672767;0
2021-10-27;9231487;2863195;41915257;0;9231487;2863195;41915257;0;9231487;2863195;41915257;0
2021-10-20;9829232;3259454;40921215;0;9829232;3259454;40921215;0;9829232;3259454;40921215;0
2021-10-13;10307179;3862335;39840387;0;10307179;3862335;39840387;0;10307179;3862335;39840387;0
2021-10-06;10942694;4426185;38641022;0;10942694;4426185;38641022;0;10942694;4426185;38641022;0
2021-09-29;11786620;4805486;37417795;0;11786620;4805486;37417795;0;11786620;4805486;37417795;0
2021-09-22;12581126;5096568;36332207;0;12581126;5096568;36332207;0;12581126;5096568;36332207;0
2021-09-15;13334156;5075930;35599815;0;13334156;5075930;35599815;0;13334156;5075930;35599815;0
2021-09-08;14507530;5210293;34292078;0;14507530;5210293;34292078;0;14507530;5210293;34292078;0
2021-09-01;15656647;6065610;32287644;0;15656647;6065610;32287644;0;15656647;6065610;32287644;0
2021-08-25;16708830;7672393;29628678;0;16708830;7672393;29628678;0;16708830;7672393;29628678;0
2021-08-18;17568325;9940124;26501452;0;17568325;9940124;26501452;0;17568325;9940124;26501452;0
2021-08-11;20322806;11341436;22345659;0;20322806;11341436;22345659;0;20322806;11341436;22345659;0
2021-08-04;21289761;13149676;19570464;0;21289761;13149676;19570464;0;21289761;13149676;19570464;0
2021-07-28;22879167;13741130;17389604;0;22879167;13741130;17389604;0;22879167;13741130;17389604;0
2021-07-21;24745853;13879852;15384196;0;24745853;13879852;15384196;0;24745853;13879852;15384196;0
2021-07-14;27065063;13015437;13929401;0;27065063;13015437;13929401;0;27065063;13015437;13929401;0
